gene_id	transcript_id	HEKTE_KIDNEY	MCF7_BREAST	DU4475_BREAST	MDAMB231_BREAST	T47D_BREAST	ZR751_BREAST	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ENSG00000008513.10	ENST00000399640	5.02	11.16	0.05	6.74	4.88	9.98	4.74
ENSG00000008513.10	ENST00000519924	0	0	0	0	0	1.17	0
ENSG00000008513.10	ENST00000521180	2.91	7.09	0.04	5.37	3.99	5.15	0.47
ENSG00000008513.10	ENST00000522652	0.09	0.42	0	0.12	0.14	0.22	0.01
ENSG00000008513.10	ENST00000523634	0	0	0	0	0	0	0
ENSG00000008513.10	ENST00000523855	0	0.35	0	0.45	0.17	0.14	0.03
ENSG00000033170.12	ENST00000342677	3.31	5.84	0.83	4.4	1.08	1.17	0.06
ENSG00000033170.12	ENST00000358307	0.64	1.66	0	6.12	0.06	0.75	0
ENSG00000033170.12	ENST00000360689	2.08	5.05	0.29	2.51	0.17	0.46	0.07
ENSG00000033170.12	ENST00000394586	0.47	2.55	0	0.18	0.13	1.23	0
ENSG00000033170.12	ENST00000557164	7.3	11.65	1.57	9.84	1.72	0	0.15
ENSG00000070731.5	ENST00000225276	0.38	6.98	17.29	1.5	26.51	51.04	0.01
ENSG00000070731.5	ENST00000585736	0	0.21	4.08	0.13	0.56	3.08	0
ENSG00000070731.5	ENST00000588120	0.12	1.74	1.47	0.37	5.05	5.01	0
ENSG00000070731.5	ENST00000588920	0	0.13	0	0	0.45	0.91	0
ENSG00000071073.8	ENST00000264968	0	0.2	0.05	0	0.05	0	0.29
ENSG00000071073.8	ENST00000393487	0.12	7.9	1.21	0.7	2.39	4.88	1.13
ENSG00000071073.8	ENST00000409391	0	6.77	0	0	0.35	1.56	0
ENSG00000071073.8	ENST00000414521	0.03	2.78	0.47	0.54	0.83	1.84	5.44
ENSG00000073849.10	ENST00000169298	2.67	0	0	0	7.47	0	0
ENSG00000073849.10	ENST00000427315	0	0	0	0	0	0	0
ENSG00000073849.10	ENST00000442023	0	0	0	0	0	0	0
ENSG00000073849.10	ENST00000448044	0	0.69	0.06	0.1	2.22	6	1.37
ENSG00000073849.10	ENST00000457772	1.42	0	0	0.3	4.51	4.72	4.05
ENSG00000086062.8	ENST00000379731	48.03	38.51	2.57	53.42	104.49	27.89	7.43
ENSG00000086062.8	ENST00000535206	0.04	0.14	0	0.03	0.27	0	0.01
ENSG00000088035.11	ENST00000263440	4.94	2.59	2.29	5.84	3.12	5.19	5.48
ENSG00000088035.11	ENST00000487136	0.26	0.11	0.25	0.17	0.2	0	0.03
ENSG00000088035.11	ENST00000603108	0.15	0	0	0	0.17	0	0
ENSG00000102100.10	ENST00000247138	4.02	2.7	0.58	6.59	8.16	1.58	2.63
ENSG00000102100.10	ENST00000376512	2.29	2.62	2.11	1.63	5.81	3.65	0.26
ENSG00000102100.10	ENST00000376515	0.08	0.04	0.2	0	0.09	0	0
ENSG00000102100.10	ENST00000376521	8.91	9.64	5.88	11.02	16.73	9.62	2.01
ENSG00000102100.10	ENST00000376529	2.46	1.39	0	1.41	1.53	0	1.36
ENSG00000102100.10	ENST00000413561	0.28	1.55	0.2	0	1.35	1.2	0.51
ENSG00000102100.10	ENST00000445167	10.05	16.25	4.64	19.06	29.02	9.52	8.29
ENSG00000102100.10	ENST00000446885	0.07	0.05	0	0.09	0	0	0
ENSG00000102100.10	ENST00000452555	0	0.08	0	0.18	0	0	0
ENSG00000103174.7	ENST00000312251	7.96	2.03	1.02	5.17	7.09	2.83	8.76
ENSG00000103174.7	ENST00000381955	0.07	0.45	0.06	0.25	0	0	0.2
ENSG00000103174.7	ENST00000562746	0.16	0.1	0	0.36	0.3	0.7	0.89
ENSG00000106392.6	ENST00000223122	0.84	0.06	0.25	1.23	0	2.99	2.65
ENSG00000106392.6	ENST00000402468	8.33	1.4	2	19.58	4.16	10.7	0.16
ENSG00000106392.6	ENST00000429911	0.2	0	0	0	0	0	0
ENSG00000106392.6	ENST00000436587	8.43	1.73	2.99	12.44	2.22	6.78	0.33
ENSG00000111846.11	ENST00000265012	0.09	0	0	0.45	0.01	0.03	0.01
ENSG00000111846.11	ENST00000316170	0.11	0	0	0.36	0.01	0.12	0.04
ENSG00000111846.11	ENST00000379597	3.9	0	0.02	20.72	0.06	0.8	0.04
ENSG00000111846.11	ENST00000410107	0	0	0	0	0	0	0
ENSG00000111846.11	ENST00000495262	0	0.04	0	0.46	0.12	0	0
ENSG00000116704.6	ENST00000235345	4.99	3.83	1.95	7.28	3.92	4.29	2.51
ENSG00000117308.10	ENST00000374497	17.68	4.62	9.43	31.09	12.65	6.79	8.45
ENSG00000117308.10	ENST00000418277	8.27	10.65	18.15	30.81	5.36	10.88	2.62
ENSG00000117308.10	ENST00000425913	1.52	0.05	0.67	0.96	0.48	0.27	0
ENSG00000117308.10	ENST00000429356	2.4	0.72	2.3	8.45	0.3	0.96	0.35
ENSG00000117308.10	ENST00000445705	3.66	0.36	1.3	3.5	0.71	3.02	0.26
ENSG00000117411.12	ENST00000309519	3.25	3.01	6.6	4.68	5.08	0	0.25
