gene_id	transcript_id	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EKVX_LUNG	HOP62_LUNG	HOP92_LUNG	NCIH226_LUNG	NCIH23_LUNG	NCIH322_LUNG	NCIH460_LUNG	NCIH522_LUNG	HCT116_LARGE_INTESTINE	HCT15_LARGE_INTESTINE	HT29_LARGE_INTESTINE	KM12_LARGE_INTESTINE	SW620_LARGE_INTESTINE	SF268_CENTRAL_NERVOUS_SYSTEM	SF295_CENTRAL_NERVOUS_SYSTEM	SF539_CENTRAL_NERVOUS_SYSTEM	SNB75_CENTRAL_NERVOUS_SYSTEM	U251MG_CENTRAL_NERVOUS_SYSTEM	LOXIMVI_SKIN	MALME3M_SKIN	MDAMB435S_SKIN	SKMEL24_SKIN	SKMEL28_SKIN	SKMEL5_SKIN	UACC62_SKIN	IGROV1_OVARY	NIHOVCAR3_OVARY	OVCAR4_OVARY	OVCAR8_OVARY	SKOV3_OVARY	X786O_KIDNEY	ACHN_KIDNEY	UO31_KIDNEY	PC3_PROSTATE	MCF7_BREAST	MDAMB231_BREAST	MDAMB468_BREAST	BT549_BREAST	T47D_BREAST
ENSG00000000419.8	ENST00000371588.5	39.31	65.09	49.74	56.3	69.34	98.8	43.01	74.99	130.23	78.45	67.22	82.68	103.27	98.72	90.85	106.03	117.49	62.98	86.61	75.89	80.7	52.87	65.4	72.5	252.24	50.87	72.64	74.61	66.75	64.81	133.62	91.04	95.59	71.28	125.89	57.94	92.82	63.47	125.4	65.41	100.5	120.63	92.03
ENSG00000002587.5	ENST00000002596.5	0.01	0	0.01	0.02	0.04	0.01	1.61	0	0	5.13	0.06	0	14.04	0.63	4.49	2.6	0.07	0.01	1.23	0.02	1.08	1.44	0	0.03	0.01	0.43	0.34	0.16	0.19	0.38	0.08	0.05	0	1.06	0.05	0.42	0.2	0.38	0.01	2.42	0.62	1.01	0
ENSG00000005893.11	ENST00000200639.4	8.51	8.21	16.06	115.67	22.54	107.17	76.17	31.08	11.82	19.26	13.41	14.45	14.69	15.62	12.78	10.81	7.99	117.77	65.55	127.94	283.31	264.65	14.13	89.71	107.63	118.31	120.34	82.05	42.27	38.79	37.91	22.8	25.37	32.44	33.52	11.06	53.69	29.91	95.18	83.61	69.18	98.45	21.66
ENSG00000005893.11	ENST00000371335.4	30.27	54.16	21.31	120.84	19.76	112.35	76.88	32.29	30.02	24.76	27.98	55.9	22.44	33.78	14.9	11.97	25.15	51.09	76.24	152.69	152.63	187.33	19.86	86.58	81.8	104.93	139.38	113.88	60.81	12.75	54.39	35.19	24	52.5	118.09	38.54	81.07	36.68	36.5	44.65	35.28	123.73	32.07
ENSG00000005893.11	ENST00000434600.2	0.18	2.12	1.76	7.86	3.28	10.7	7.74	5.31	3.81	2.06	2.49	3.11	1.8	1.52	2.99	1.38	1.15	4.44	8.94	5.37	13.72	19.89	4.41	8.56	6.28	9.26	6.61	4.38	1.52	3.31	3.47	1.32	2.25	4.51	4.86	2.08	8.08	1.28	7.44	10.12	5.5	12.94	1.4
ENSG00000006756.11	ENST00000381154.1	1.61	0.2	0.02	0.05	8.71	5.97	23.18	3.56	0.91	0.05	2.44	8.05	1.25	6.89	9.12	5.22	0.34	5.05	8	8.77	14.95	18.87	0.1	9.48	9.98	0.18	4.28	4.91	2.44	4.75	8.98	7.58	0.6	7.75	6.78	7.95	8.94	2.43	19.02	2.45	7.5	3.67	12.88
ENSG00000007541.10	ENST00000026218.5	0.88	4.58	1.48	3.11	5.43	5.86	1.38	2.8	0.57	4.09	1.31	3.15	0.48	1.57	3.37	0.4	1.08	3.85	3.64	3.84	7.68	4.12	1.72	0.12	1.56	1.85	2.74	0.74	2.3	1.31	2.05	6.2	5.9	8.55	1.95	10.62	3.29	6.43	0.32	3.27	1.72	3.72	7.45
ENSG00000007541.10	ENST00000321878.5	4.61	4.51	10.87	3.29	2.87	3.46	3.52	8.53	3.77	5.31	4.79	11.81	2.21	7.45	7.7	5.12	9.5	4.68	14.37	9.65	6.53	17.75	8.96	5.36	9.65	10.68	11.83	9.07	7.31	3.22	10.35	4.46	24.32	15.19	6.65	16.15	14.24	1.84	15.33	7.95	10.56	6.45	14.35
ENSG00000007541.10	ENST00000409527.2	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000007541.10	ENST00000470411.2	2.32	1.38	8.68	0.66	1.07	0.58	2.15	1.19	1.78	1.08	1.83	2.69	0.75	2.98	1.46	2.51	2.19	5.65	1.99	1.29	2	1.32	1.99	0.92	1.71	4.49	2.85	2.11	4.63	4.58	0.56	0.48	2.84	2.46	3.31	2.3	1.31	1.76	1.32	1.8	0.55	3.48	1.22
