id	num	pos.score	pos.p.value	pos.fdr	pos.rank	pos.goodsgrna	pos.lfc	group
GMDS	10	6.0694e-21	4.9687e-06	0.000192	2	10	4.39	E_minus
SLC35C1	11	6.9097e-14	4.9687e-06	0.000192	6	10	4.006	E_minus
FUT7	14	3.0926e-24	4.9687e-06	0.000192	1	14	3.9992	E_minus
SLC35A1	10	3.3324e-12	4.9687e-06	0.000192	8	10	3.665	E_minus
CMAS	9	5.0998e-12	4.9687e-06	0.000192	9	9	3.566	E_minus
NANS	11	1.9618e-16	4.9687e-06	0.000192	5	10	3.4083	E_minus
ST3GAL4	12	3.5383e-18	4.9687e-06	0.000192	3	12	3.3778	E_minus
GNE	11	1.7436e-12	4.9687e-06	0.000192	7	11	3.3122	E_minus
TSTA3	14	5.8672e-18	4.9687e-06	0.000192	4	13	3.2863	E_minus
SULT1B1	10	0.0064992	0.024183	0.839138	10	5	0.55319	E_minus
FUT2	13	0.036513	0.11556	0.999876	24	5	0.098514	E_minus
FUT9	12	0.23677	0.41291	0.999876	92	3	0.091368	E_minus
UGT1A3	7	0.23648	0.35066	0.999876	91	2	0.074153	E_minus
GALNT6	12	0.032608	0.10123	0.999876	20	3	0.035501	E_minus
POMGNT1	11	0.035657	0.10392	0.999876	23	4	-0.023182	E_minus
SLC17A5	9	0.0084081	0.030513	0.962539	11	4	-0.024387	E_minus
GANAB	12	0.48736	0.63055	0.999876	175	1	-0.1113	E_minus
GBA	10	0.054196	0.14308	0.999876	27	4	-0.14667	E_minus
SLC35E4	12	0.074692	0.18737	0.999876	35	3	-0.25043	E_minus
C1GALT1C1	10	0.11013	0.23073	0.999876	46	3	-0.27297	E_minus
EXTL3	11	0.035468	0.10348	0.999876	22	4	-0.27752	E_minus
UGT1A1	6	0.66296	0.66154	0.999876	226	0	-0.33126	E_minus
C1GALT1	15	0.36488	0.56891	0.999876	137	2	-0.34755	E_minus
MGAT5	12	0.56265	0.69543	0.999876	199	2	-0.34979	E_minus
UGT2B28	7	0.23429	0.3482	0.999876	90	1	-0.3956	E_minus
GMPPA	11	0.21444	0.38359	0.999876	82	3	-0.4098	E_minus
ST3GAL1	12	0.081882	0.20156	0.999876	38	4	-0.42428	E_minus
HYAL1	14	0.26262	0.45546	0.999876	102	3	-0.43734	E_minus
MOGS	13	0.22649	0.40719	0.999876	89	3	-0.53797	E_minus
HYAL2	11	0.46753	0.60621	0.999876	166	1	-0.55973	E_minus
UGT1A6	6	0.22185	0.33056	0.999876	84	2	-0.56534	E_minus
GCNT1	11	0.4297	0.57321	0.999876	156	2	-0.57808	E_minus
UGT2B4	12	0.16386	0.32109	0.999876	61	3	-0.59046	E_minus
ST6GAL1	12	0.10325	0.24279	0.999876	45	4	-0.59101	E_minus
PIGP	11	0.30837	0.47115	0.999876	117	2	-0.62945	E_minus
B4GALT6	11	0.36115	0.51419	0.999876	134	2	-0.63067	E_minus
PPBP	10	0.030908	0.088945	0.999876	18	4	-0.64529	E_minus
UGT1A10	11	0.43281	0.57592	0.999876	157	2	-0.66094	E_minus
POMGNT2	12	0.332	0.50701	0.999876	126	2	-0.6725	E_minus
PAPSS2	12	0.10228	0.24099	0.999876	44	4	-0.67996	E_minus
GALNT18	12	0.15651	0.31171	0.999876	58	3	-0.68471	E_minus
CTNS	12	0.2436	0.42156	0.999876	93	3	-0.70726	E_minus
KHK	11	0.70169	0.74091	0.999876	237	1	-0.75025	E_minus
UGT2B17	12	0.076323	0.19044	0.999876	36	3	-0.75852	E_minus
UGT1A4	6	0.54709	0.55497	0.999876	195	1	-0.77196	E_minus
PIGQ	12	0.074402	0.18678	0.999876	34	4	-0.77595	E_minus
B4GALNT4	12	0.068385	0.17494	0.999876	31	4	-0.78744	E_minus
GALC	13	0.25875	0.44425	0.999876	99	3	-0.78889	E_minus
HYAL4	14	0.3596	0.56081	0.999876	132	3	-0.82796	E_minus
NAGLU	12	0.50576	0.64634	0.999876	184	2	-0.83866	E_minus
HS3ST5	14	0.36691	0.56842	0.999876	138	3	-0.83963	E_minus
SULT1C4	11	0.20761	0.37439	0.999876	79	3	-0.88245	E_minus
PIGM	10	0.42389	0.56112	0.999876	153	1	-0.88694	E_minus
MAN2A1	13	0.2131	0.39082	0.999876	81	3	-0.89682	E_minus
SLC35D3	9	0.3269	0.46271	0.999876	123	2	-0.93314	E_minus
SLC35F5	13	0.49275	0.64258	0.999876	179	2	-0.94387	E_minus
SLC35F3	13	0.019338	0.067738	0.999876	13	5	-0.95071	E_minus
COG6	11	0.11255	0.24363	0.999876	48	3	-0.9706	E_minus
GLCE	12	0.28016	0.46748	0.999876	111	3	-0.97334	E_minus
GAL3ST4	12	0.72633	0.77139	0.999876	244	1	-0.98168	E_minus
CHST5	14	0.28709	0.48149	0.999876	113	3	-0.9825	E_minus
GCNT4	9	0.11745	0.23759	0.999876	50	3	-1.0134	E_minus
LAMP2	13	0.54945	0.68567	0.999876	196	1	-1.069	E_minus
CHST12	12	0.36114	0.52934	0.999876	133	2	-1.0896	E_minus
