Gene name	Transcript stable ID	Chromosome/scaffold name	Transcript start (bp)	Transcript end (bp)
HS3ST1	ENST00000002596	4	11393150	11428894
XYLT2	ENST00000017003	17	50346126	50361185
PIGQ	ENST00000026218	16	570018	584109
B4GALT7	ENST00000029410	5	177600132	177610330
CHPF2	ENST00000035307	7	151232499	151238827
CTNS	ENST00000046640	17	3636760	3661542
ST6GALNAC1	ENST00000156626	17	76624763	76643757
PIGB	ENST00000164305	15	55319222	55355648
ST6GAL1	ENST00000169298	3	186930526	187078553
CTSA	ENST00000191018	20	45891341	45898820
GAL3ST2	ENST00000192314	2	241776822	241804287
LAMP2	ENST00000200639	X	120426148	120469296
NANS	ENST00000210444	9	98056732	98083077
ARSA	ENST00000216124	22	50622754	50628152
PMM1	ENST00000216259	22	41576900	41589840
GNPNAT1	ENST00000216410	14	52775193	52791607
PIGH	ENST00000216452	14	67589318	67600268
ARSD	ENST00000217890	X	2913614	2929275
STS	ENST00000217961	X	7219456	7354810
GLA	ENST00000218516	X	101397803	101407925
HAS3	ENST00000219322	16	69106257	69118719
EXTL3	ENST00000220562	8	28701501	28755599
MAN2B1	ENST00000221363	19	12646516	12666734
HAS1	ENST00000222115	19	51713112	51723968
LFNG	ENST00000222725	7	2519774	2528429
HYAL4	ENST00000223026	7	123845169	123877481
C1GALT1	ENST00000223122	7	7234258	7244350
ST6GALNAC2	ENST00000225276	17	76565377	76585860
GALK1	ENST00000225614	17	75751594	75765236
NAGLU	ENST00000225927	17	42536241	42544449
ST3GAL4	ENST00000227495	11	126355660	126414604
GALNT18	ENST00000227756	11	11270877	11622005
CMAS	ENST00000229329	12	22046218	22065668
NEU1	ENST00000229725	CHR_HSCHR6_MHC_QBL_CTG1	31849431	31853285
B3GAT2	ENST00000230053	6	70856679	70957060
ST8SIA4	ENST00000231461	5	100806933	100903282
NEU2	ENST00000233840	2	233032672	233035057
SLC35D1	ENST00000235345	1	66999350	67054148
A4GNT	ENST00000236709	3	138123713	138132390
B4GALT6	ENST00000237019	18	31624663	31684571
RPN2	ENST00000237530	20	37179330	37241619
ALG2	ENST00000238477	9	99216426	99221942
ALG5	ENST00000239891	13	36949738	36999340
SLC35B1	ENST00000240333	17	49700943	49707964
CHPF	ENST00000243776	2	219538954	219543809
SLC35C2	ENST00000243896	20	46349528	46364401
NAGK	ENST00000244204	2	71068648	71079808
SLC35F5	ENST00000245680	2	113706709	113756642
SLC35E2A	ENST00000246421	1	1732242	1745992
SLC35A2	ENST00000247138	X	48903183	48911646
IDUA	ENST00000247933	4	986997	1004529
A4GALT	ENST00000249005	22	42692122	42695633
DAD1	ENST00000250498	14	22564907	22589224
SULT1C2	ENST00000251481	2	108288895	108309915
ALG13	ENST00000251943	X	111681170	111760645
GALNT8	ENST00000252318	12	4720400	4772726
FUT5	ENST00000252675	19	5865826	5867741
SLC35D2	ENST00000253270	9	96320710	96383711
GFPT2	ENST00000253778	5	180300698	180353336
CHSY1	ENST00000254190	15	101175727	101252048
GNS	ENST00000258145	12	64713449	64759406
NPL	ENST00000258317	1	182794350	182830384
CHST12	ENST00000258711	7	2403588	2448483
GALNT5	ENST00000259056	2	157257705	157318491
HS6ST1	ENST00000259241	2	128265480	128318868
UGGT1	ENST00000259253	2	128091200	128195677
SULF1	ENST00000260128	8	69466624	69660912
KHK	ENST00000260598	2	27086772	27100762
KHK	ENST00000260599	2	27086747	27100751
SLC35A5	ENST00000261034	3	112562072	112584156
ST8SIA1	ENST00000261197	12	22200999	22334714
GALC	ENST00000261304	14	87933014	87993182
HS3ST2	ENST00000261374	16	22814162	22916338
XYLT1	ENST00000261381	16	17101769	17470960
HEXB	ENST00000261416	5	74685233	74721288
MAN2A1	ENST00000261483	5	109689366	109867178
POMT2	ENST00000261534	14	77274956	77320884
NDST1	ENST00000261797	5	150508131	150558211
GLCE	ENST00000261858	15	69160635	69272207
ASAH1	ENST00000262097	8	18056416	18084370
ALG1	ENST00000262374	16	5071819	5085587
CHST8	ENST00000262622	19	33684528	33773509
ST3GAL3	ENST00000262915	1	43707556	43931130
ALG6	ENST00000263440	1	63367627	63438553
MAN1C1	ENST00000263979	1	25617850	25784450
LCT	ENST00000264162	2	135787850	135837184
CHST10	ENST00000264249	2	100391860	100417668
NDST4	ENST00000264363	4	114827763	115113620
AGA	ENST00000264595	4	177430774	177442437
ARSB	ENST00000264914	5	78777209	78985310
MGAT4A	ENST00000264968	2	98619106	98726696
GALNT7	ENST00000265000	4	173168811	173323967
GCNT2	ENST00000265012	6	10585746	10629368
PAPSS1	ENST00000265174	4	107613666	107720234
ST3GAL6	ENST00000265261	3	98732236	98795845
UGT2B10	ENST00000265403	4	68815994	68832023
B3GAT3	ENST00000265471	11	62615296	62621986
LAMP3	ENST00000265598	3	183122215	183162734
HYAL1	ENST00000266031	3	50299890	50303572
B4GALNT3	ENST00000266383	12	459939	563509
ALG10	ENST00000266483	12	34022496	34028302
HEXA	ENST00000268097	15	72340919	72376476
ST8SIA2	ENST00000268164	15	92393881	92468728
PMM2	ENST00000268261	16	8797839	8849325
GALNS	ENST00000268695	16	88813734	88856947
GALNT1	ENST00000269195	18	35654560	35711834
UAP1	ENST00000271469	1	162561506	162599842
SULT1C4	ENST00000272452	2	108377954	108388989
CHST7	ENST00000276055	X	46573765	46598496
MGAT5	ENST00000281923	2	134254072	134454621
LIPA	ENST00000282673	10	89225109	89342704
UXS1	ENST00000283148	2	106093303	106194339
HS3ST3A1	ENST00000284110	17	13494032	13601929
UGT2A1	ENST00000286604	4	69589372	69653247
NAAA	ENST00000286733	4	75913660	75941013
FUT6	ENST00000286955	19	5830774	5839717
B3GNT7	ENST00000287590	2	231395710	231401164
ST6GALNAC6	ENST00000291839	9	127885321	127897981
HK3	ENST00000292432	5	176880869	176899346
MGAT4B	ENST00000292591	5	179797610	179806866
HS3ST6	ENST00000293937	CHR_HSCHR16_4_CTG1	1913487	1920464
NEU3	ENST00000294064	11	74988933	75010907
EOGT	ENST00000295571	3	68975217	69013623
POGLUT1	ENST00000295588	3	119468963	119494708
STT3B	ENST00000295770	3	31532925	31637616
PPBP	ENST00000296028	4	73986439	73988190
RPN1	ENST00000296255	3	128619969	128650818
NDST3	ENST00000296499	4	118034486	118258634
GALNT10	ENST00000297107	5	154190733	154420984
COG5	ENST00000297135	7	107202564	107564514
HK1	ENST00000298649	10	69315785	69401443
ALG8	ENST00000299626	11	78100946	78139626
NDST2	ENST00000299641	10	73801911	73808731
COG1	ENST00000299886	17	73193055	73208507
B4GALNT2	ENST00000300404	17	49132967	49169874
MGAT5B	ENST00000301618	17	76868456	76950377
B3GNT2	ENST00000301998	2	62196115	62224731
FUT9	ENST00000302103	6	96015974	96215612
GAA	ENST00000302262	17	80101581	80119881
FUT3	ENST00000303225	19	5842888	5851471
CHST11	ENST00000303694	12	104456948	104762014
HAS2	ENST00000303924	8	121612116	121641440
C1GALT1C1	ENST00000304661	X	120625674	120630054
TPST1	ENST00000304842	7	66205334	66360443
GUSB	ENST00000304895	7	65960684	65982213
UGT2B4	ENST00000305107	4	69480165	69495905
UGT1A6	ENST00000305139	2	233692890	233773300
UGT1A1	ENST00000305208	2	233760270	233773300
MGAT2	ENST00000305386	14	49620799	49623481
CHST14	ENST00000306243	15	40470998	40474571
ST3GAL5	ENST00000306262	2	85846406	85888988
HAS3	ENST00000306560	16	69107540	69117668
B4GALT6	ENST00000306851	18	31623169	31684723
COG8	ENST00000306875	16	69326913	69339667
COG7	ENST00000307149	16	23388493	23453189
GLB1	ENST00000307363	3	32996617	33097146
GLB1	ENST00000307377	3	32996729	33097146
MGAT1	ENST00000307826	5	180790543	180802885
CHST1	ENST00000308064	11	45647689	45665622
GMPPB	ENST00000308375	3	49719924	49723951
GMPPB	ENST00000308388	3	49719916	49723951
ALG10B	ENST00000308742	12	38316774	38329721
B4GALT2	ENST00000309519	1	43979936	43991170
CHST2	ENST00000309575	3	143119771	143124014
NDST2	ENST00000309979	10	73801916	73811598
DSEL	ENST00000310045	18	67506587	67516720
FUT1	ENST00000310160	19	48748011	48755390
XXYLT1	ENST00000310380	3	195068284	195271159
RFNG	ENST00000310496	17	82047902	82051811
SULT1B1	ENST00000310613	4	69721167	69760620
UGT8	ENST00000310836	4	114598807	114678225
GNPDA1	ENST00000311337	5	142000671	142013027
HPSE	ENST00000311412	4	83292461	83334848
GAL3ST3	ENST00000312006	11	66040765	66049161
B3GAT1	ENST00000312527	11	134378508	134412242
HS3ST5	ENST00000312719	6	114055586	114343045
GMPPA	ENST00000313597	2	219498867	219506987
B3GALNT2	ENST00000313984	1	235464896	235504422
SLC35C1	ENST00000314134	11	45805149	45813016
ASAH1	ENST00000314146	8	18057198	18084985
DPM2	ENST00000314392	9	127935099	127938484
FUT7	ENST00000314412	9	137030174	137032088
ST8SIA5	ENST00000315087	18	46679118	46757169
GCNT2	ENST00000316170	6	10556007	10629367
UGDH	ENST00000316423	4	39498755	39527439
SLC35C2	ENST00000317734	20	46349530	46364458
UGT2B17	ENST00000317746	4	68537184	68568527
FUT6	ENST00000318336	19	5830408	5838792
B3GNT3	ENST00000318683	19	17795138	17813576
ST6GALNAC5	ENST00000318803	1	76867480	77064058
ALG2	ENST00000319033	9	99217372	99221140
CHST13	ENST00000319340	3	126524155	126543291
SLC35E3	ENST00000319429	12	68746135	68762769
B4GALT3	ENST00000319769	1	161171310	161177507
HYAL1	ENST00000320295	3	50299894	50312381
B3GALNT1	ENST00000320474	3	161083883	161105349
B3GNT8	ENST00000321702	19	41425359	41428730
PIGQ	ENST00000321878	16	569947	584136
GCNT4	ENST00000322348	5	75025346	75030899
B4GALNT3	ENST00000322843	12	543133	555430
SLC35A4	ENST00000323146	5	140564828	140569100
MPI	ENST00000323744	15	74890042	74898228
COG4	ENST00000323786	16	70480571	70523554
ST8SIA3	ENST00000324000	18	57352557	57368931
B3GNT4	ENST00000324189	12	122203709	122208952
GALNT14	ENST00000324589	2	30910467	31138147
LARGE2	ENST00000325468	11	45922778	45929096
NEU4	ENST00000325935	2	241811000	241817413
SGSH	ENST00000326317	17	80209276	80220333
B3GNT5	ENST00000326505	3	183253253	183273385
SULT1C2	ENST00000326853	2	108288639	108309915
GALK2	ENST00000327171	15	49155765	49331882
GBA	ENST00000327247	1	155234452	155244670
FUT10	ENST00000327671	8	33370824	33473146
ST6GALNAC3	ENST00000328299	1	76074746	76634603
GALNT9	ENST00000328957	12	132196372	132329589
SULT1C3	ENST00000329106	2	108247195	108265351
ASAH2	ENST00000329428	10	50187312	50248553
PIGP	ENST00000329667	21	37065374	37072537
B4GALNT4	ENST00000329962	11	369499	382117
ST3GAL3	ENST00000330208	1	43707533	43931165
ALG12	ENST00000330817	22	49900229	49918438
POFUT2	ENST00000331343	21	45263928	45287898
HS3ST4	ENST00000331351	16	25691959	26137685
SLC35D3	ENST00000331858	6	136922301	136925660
CSGALNACT1	ENST00000332246	8	19404161	19682583
CHST6	ENST00000332272	16	75472052	75495441
LAMP1	ENST00000332556	13	113297239	113323672
ST3GAL3	ENST00000332628	1	43736336	43930988
MGAT1	ENST00000333055	5	180784782	180815541
GALNT17	ENST00000333538	7	71132144	71713599
PIGA	ENST00000333590	X	15319451	15335580
POFUT2	ENST00000334538	21	45263928	45287898
ST3GAL3	ENST00000335430	1	43707533	43931165
UGT2B28	ENST00000335568	4	69280475	69295050
SULT1A2	ENST00000335715	16	28591943	28597050
ST6GALNAC4	ENST00000335791	9	127907886	127917041
LIPA	ENST00000336233	10	89213572	89251775
CHST5	ENST00000336257	16	75528535	75535170
HYAL3	ENST00000336307	3	50292832	50299405
UGP2	ENST00000337130	2	63841710	63891562
MGAT4B	ENST00000337755	5	179797597	179802998
GALNT16	ENST00000337827	14	69259964	69357033
CHST4	ENST00000338482	16	71525233	71538746
LFNG	ENST00000338732	7	2518554	2528427
TPST2	ENST00000338754	22	26521996	26590132
GAL3ST1	ENST00000338911	22	30554637	30557586
SULT1A3	ENST00000338971	16	30199231	30204028
GALNT15	ENST00000339732	3	16174680	16230165
SLC35F4	ENST00000339762	14	57563922	57596897
IDS	ENST00000340855	X	149476988	149505306
ACER2	ENST00000340967	9	19409009	19452505
POMT1	ENST00000341012	9	131502918	131523806
GMPPA	ENST00000341142	2	219498915	219506987
B4GALNT1	ENST00000341156	12	57623409	57633201
MGAT3	ENST00000341184	22	39457012	39492194
DPM3	ENST00000341298	1	155139891	155140595
SMPD1	ENST00000342245	11	6390474	6394996
FUT8	ENST00000342677	14	65411865	65743142
ST3GAL2	ENST00000342907	16	70375977	70439100
B3GALT5	ENST00000343118	21	39657777	39662888
SLC35E4	ENST00000343605	22	30635781	30647893
EXT2	ENST00000343631	11	44096223	44245425
PIGC	ENST00000344529	1	172441457	172444069
UGT1A10	ENST00000344644	2	233636454	233773305
POMGNT2	ENST00000344697	3	43079234	43106079
GANAB	ENST00000346178	11	62624826	62646615
CHST15	ENST00000346248	10	124007668	124092454
COG5	ENST00000347053	7	107201555	107564040
ST3GAL3	ENST00000347631	1	43707497	43931165
POFUT2	ENST00000349485	21	45263928	45287898
GALNT14	ENST00000349752	2	30910467	31138440
COG3	ENST00000349995	13	45464939	45536701
ST3GAL3	ENST00000351035	1	43707544	43931139
MPI	ENST00000352410	15	74890042	74902219
ST3GAL3	ENST00000353126	1	43707541	43931146
DPAGT1	ENST00000354202	11	119096510	119101853
